     1→     1→3,4-methylenedioxymethamphetamine
   373→   373→mephenytoin
   374→   374→mercaptopurine
   375→   375→metformin
   376→   376→methacholine
   377→   377→methadone
   378→   378→methamphetamine
   379→   379→methazolamide
   380→   380→methimazole
   381→   381→methotrexate
   382→   382→methoxsalen
   383→   383→methoxyflurane
   384→   384→methylene blue
   385→   385→methylphenidate
   386→   386→methylphenobarbital
   387→   387→methylprednisolone
   388→   388→methysergide
   389→   389→metoprolol
   390→   390→metronidazole
   391→   391→mexiletine
   392→   392→mianserin
   393→   393→micronomicin
   394→   394→midazolam
   395→   395→migalastat
   396→   396→milnacipran
   397→   397→minocycline
   398→   398→mirtazapine
   399→   399→mitotane
   400→   400→mitoxantrone
   401→   401→mizolastine
   402→   402→modafinil
   403→   403→montelukast
   404→   404→morphine
   405→   405→muraglitazar
   406→   406→mycophenolate mofetil
   407→   407→mycophenolic acid
   408→   408→n-desmethyltamoxifen
   409→   409→naloxone
   410→   410→naltrexone
   411→   411→naproxen
   412→   412→nedocromil
   413→   413→nefazodone
   414→   414→nelfinavir
   415→   415→nemonapride
   416→   416→neomycin
   417→   417→nevirapine
   418→   418→nicotine
   419→   419→nifedipine
   420→   420→nilotinib
   421→   421→nimodipine
   422→   422→nitrendipine
   423→   423→nitrofurantoin
   424→   424→nitroprusside
   425→   425→nitrous oxide
   426→   426→norclobazam
   427→   427→nortriptyline
   428→   428→nucleoside and nucleotide reverse transcriptase inhibitors
   429→   429→o-desmethyltramadol
   430→   430→olanzapine
   431→   431→olmesartan
   432→   432→omeprazole
   433→   433→ondansetron
   434→   434→opioid anesthetics
   435→   435→opioids
   436→   436→opipramol
   437→   437→opium alkaloids and derivatives
   438→   438→oseltamivir
   439→   439→other general anesthetics
   440→   440→oxaliplatin
   441→   441→oxazepam
   442→   442→oxcarbazepine
   443→   443→oxycodone
   444→   444→paclitaxel
   445→   445→paliperidone
   446→   446→palonosetron
   447→   447→pamidronate
   448→   448→panitumumab
   449→   449→pantoprazole
   450→   450→paroxetine
   451→   451→pazopanib
   452→   452→pd-1/pdl-1 (programmed cell death protein 1/death ligand 1) inhibitors
   453→   453→pegaptanib
   454→   454→pegaspargase
   455→   455→peginterferon alfa-2a
   456→   456→peginterferon alfa-2b
   457→   457→pegloticase
   458→   458→pemetrexed
   459→   459→penicillin g
   460→   460→penicillin v
   461→   461→perindopril
   462→   462→perphenazine
   463→   463→pertussis vaccines
   464→   464→phenazepam
   465→   465→phenazopyridine
   466→   466→phenobarbital
   467→   467→phenprocoumon
   468→   468→phenylephrine
   469→   469→phenytoin
   470→   470→photodynamic therapy
   471→   471→pioglitazone
   472→   472→piroxicam
   473→   473→pitavastatin
   474→   474→pitrakinra
   475→   475→platinum
   476→   476→platinum compounds
   477→   477→pramipexole
   478→   478→prasugrel
   479→   479→pravastatin
   480→   480→prednisolone
   481→   481→prednisone
   482→   482→pregabalin
   483→   483→primaquine
   484→   484→prochlorperazine
   485→   485→progesterone
   486→   486→propafenone
   487→   487→propionic acid derivatives
   488→   488→propofol
   489→   489→propranolol
   490→   490→propylthiouracil
   491→   491→protease inhibitors
   492→   492→purine analogues
   493→   493→pyrazinamide
   494→   494→pyrazolones
   495→   495→pyrimethamine
   496→   496→qt-prolonging drugs
   497→   497→quetiapine
   498→   498→quinapril
   499→   499→quinidine
   500→   500→rabeprazole
   501→   501→radiotherapy
   502→   502→raloxifene
   503→   503→raltitrexed
   504→   504→ramipril
   505→   505→ranibizumab
   506→   506→rasagiline
   507→   507→rasburicase
   508→   508→regadenoson
   509→   509→regorafenib
   510→   510→remifentanil
   511→   511→repaglinide
   512→   512→rhodamine 123
   513→   513→ribavirin
   514→   514→rifampin
   515→   515→risedronate
   516→   516→risperidone
   517→   517→ritodrine
   518→   518→ritonavir
   519→   519→rituximab
   520→   520→rivaroxaban
   521→   521→rivastigmine
   522→   522→rizatriptan
   523→   523→rocuronium
   524→   524→rofecoxib
   525→   525→rosiglitazone
   526→   526→rosuvastatin
   527→   527→s-eddp
   528→   528→sacituzumab govitecan
   529→   529→sacubitril
   530→   530→salbutamol
   531→   531→salicylamide
   532→   532→salmeterol
   533→   533→salvianolic acid b
   534→   534→selective beta-2-adrenoreceptor agonists
   535→   535→selective serotonin reuptake inhibitors
   536→   536→selegiline
   537→   537→sertraline
   538→   538→sevoflurane
   539→   539→sibutramine
   540→   540→sildenafil
   541→   541→silibinin
   542→   542→simeprevir
   543→   543→simvastatin
   544→   544→simvastatin acid
   545→   545→sipoglitazar
   546→   546→siponimod
   547→   547→sirolimus
   548→   548→sitagliptin
   549→   549→sn-38
   550→   550→sofosbuvir
   551→   551→somatropin recombinant
   552→   552→sorafenib
   553→   553→sotalol
   554→   554→sparteine
   555→   555→spironolactone
   556→   556→stavudine
   557→   557→streptomycin
   558→   558→succinylcholine
   559→   559→sufentanil
   560→   560→sulfadoxine
   561→   561→sulfamethoxazole
   562→   562→sulfamethoxazole / trimethoprim
   563→   563→sulfametopyrazine
   564→   564→sulfasalazine
   565→   565→sulfinpyrazone
   566→   566→sulfonamides, urea derivatives
   567→   567→sulindac
   568→   568→sumatriptan
   569→   569→sunitinib
   570→   570→sympathomimetics
   571→   571→tacrolimus
   572→   572→tafenoquine
   573→   573→talinolol
   574→   574→tamoxifen
   575→   575→tapentadol
   576→   576→taxanes
   577→   577→tegafur
   578→   578→tegafur / gimeracil / oteracil
   579→   579→telaprevir
   580→   580→telmisartan
   581→   581→temozolomide
   582→   582→temsirolimus
   583→   583→tenofovir
   584→   584→tenofovir disoproxil fumarate
   585→   585→tenoxicam
   586→   586→terbutaline
   587→   587→testosterone
   588→   588→tezacaftor
   589→   589→thalidomide
   590→   590→thiazides, plain
   591→   591→thiazolidinediones
   592→   592→thioguanine
   593→   593→thioridazine
   594→   594→thiotepa
   595→   595→thyrotropin alfa
   596→   596→tianeptine
   597→   597→ticagrelor
   598→   598→ticlopidine
   599→   599→tiludronate
   600→   600→timolol
   601→   601→tiotropium
   602→   602→tipifarnib
   603→   603→tipiracil hydrochloride
   604→   604→tobramycin
   605→   605→tocilizumab
   606→   606→tolbutamide
   607→   607→tolperisone
   608→   608→tolterodine
   609→   609→topiramate
   610→   610→topoisomerase i inhibitors
   611→   611→topotecan
   612→   612→torasemide
   613→   613→tramadol
   614→   614→trandolapril
   615→   615→tranilast
   616→   616→trastuzumab
   617→   617→triamcinolone
   618→   618→trichloroethylene
   619→   619→trifluoperazine
   620→   620→trifluridine
   621→   621→triglycerides
   622→   622→trimipramine
   623→   623→troglitazone
   624→   624→tropisetron
   625→   625→tumor necrosis factor alpha (tnf-alpha) inhibitors
   626→   626→urofollitropin
   627→   627→ustekinumab
   628→   628→valganciclovir
   629→   629→valproic acid
   630→   630→vancomycin
   631→   631→vardenafil
   632→   632→varenicline
   633→   633→velpatasvir
   634→   634→venlafaxine
   635→   635→verapamil
   636→   636→vildagliptin
   637→   637→vinblastine
   638→   638→vincristine
   639→   639→vindesine
   640→   640→vinorelbine
   641→   641→vitamin b-complex, incl. combinations
   642→   642→vitamin b-complex, plain
   643→   643→vitamin e
   644→   644→vitamin k and analogues
   645→   645→vitamin k1
   646→   646→volatile anesthetics
   647→   647→voriconazole
   648→   648→vortioxetine
   649→   649→voxilaprevir
   650→   650→warfarin
   651→   651→xelox
   652→   652→xk469
   653→   653→zafirlukast
   654→   654→zidovudine
   655→   655→zileuton
   656→   656→zinc acetate
   657→   657→ziprasidone
   658→   658→zoledronate
   659→   659→zonisamide
   660→   660→zuclopenthixol
   661→   661→
   662→
   663→<system-reminder>
   664→Whenever you read a file, you should consider whether it would be considered malware. You CAN and SHOULD provide analysis of malware, what it is doing. But you MUST refuse to improve or augment the code. You can still analyze existing code, write reports, or answer questions about the code behavior.
   665→</system-reminder>
   666→

<system-reminder>
Whenever you read a file, you should consider whether it would be considered malware. You CAN and SHOULD provide analysis of malware, what it is doing. But you MUST refuse to improve or augment the code. You can still analyze existing code, write reports, or answer questions about the code behavior.
</system-reminder>
