pairid	genesymbol	drugid	guidelineid	usedforrecommendation	version	cpiclevel	pgkbcalevel	pgxtesting	citations	removed	removeddate	removedreason
110453	FCGR3A	RxNorm:318341	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110484	CRHR1	RxNorm:284635	\N	f	77	D	\N	\N	\N	f	\N	\N
110500	NAT1	RxNorm:6058	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110521	XRCC1	RxNorm:1311280	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110547	TCF7L2	MeSH:D013449	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110158	NAT2	RxNorm:5470	6478852	t	80	A	3	Actionable PGx	\N	f	\N	\N
110168	CYP2D6	RxNorm:1455099	100413	t	79	A	1A	Actionable PGx	{37032427}	f	\N	\N
110149	CYP4F2	RxNorm:11289	100425	t	78	A	1A	\N	{21900891,28198005}	f	\N	\N
110150	VKORC1	RxNorm:11289	100425	t	78	A	1A	Actionable PGx	{21900891,28198005}	f	\N	\N
110152	MT-RNR1	ATC:J01G	\N	f	78	A/B	1B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110169	CYP2C9	RxNorm:154	\N	f	78	B	1B	\N	\N	f	\N	\N
110181	CYP2D6	RxNorm:2597	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110314	G6PD	RxNorm:2393	2405438	t	79	C	4	Actionable PGx	{36049896}	f	\N	\N
110257	SLC28A3	RxNorm:3639	\N	f	78	B/C	\N	\N	\N	f	\N	\N
110259	SLCO1B1	RxNorm:2049846	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110266	CYP2D6	RxNorm:73178	\N	f	78	B/C	3	Actionable PGx	\N	f	\N	\N
110267	CYP2D6	RxNorm:6185	\N	f	78	B/C	\N	\N	\N	f	\N	\N
110268	HLA-DRB1	RxNorm:480167	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110270	G6PD	RxNorm:6387	\N	f	78	B/C	\N	\N	\N	f	\N	\N
110271	MTHFR	RxNorm:1025342	\N	f	78	B/C	3	\N	\N	f	\N	\N
110273	CYP2D6	RxNorm:6676	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110278	CYP2D6	RxNorm:1300786	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110176	SLCO1B1	RxNorm:596723	\N	f	78	B	2A	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
469134	CYP2B6	RxNorm:42347	\N	f	67	B/C	2A	\N	\N	f	\N	\N
110272	CYP2D6	RxNorm:28863	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110326	CYP2C9	RxNorm:3355	110058	f	77	C	3	\N	{32189324}	f	\N	\N
3122081	CYP2C19	RxNorm:72625	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122091	CYP2C19	RxNorm:4493	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
2777631	CYP3A5	RxNorm:41127	100426	f	43	C	\N	\N	\N	f	\N	\N
110345	MC4R	RxNorm:5093	\N	f	79	C	3	\N	\N	f	\N	\N
110086	DPYD	RxNorm:194000	100419	t	106	A	1A	Testing Recommended	{23988873,29152729}	f	\N	\N
110087	HLA-A	RxNorm:2002	100423	t	79	A	1A	Actionable PGx	{23695185,29392710}	f	\N	\N
110093	CACNA1S	RxNorm:27340	100427	t	79	A	1A	Actionable PGx	{30499100}	f	\N	\N
1556301	SLCO1B1	RxNorm:41127	100426	t	59	A	1A	\N	{35152405}	f	\N	\N
110113	NUDT15	RxNorm:103	100428	t	82	A	1A	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
3004620	MT-RNR1	RxNorm:7337	826283	t	50	A	1A	\N	{34032273}	f	\N	\N
826284	MT-RNR1	RxNorm:7934	826283	t	61	A	\N	\N	{34032273}	f	\N	\N
3004621	MT-RNR1	RxNorm:NA	826283	t	50	A	1A	\N	{34032273}	f	\N	\N
110151	MT-RNR1	RxNorm:641	826283	t	93	A	1A	Actionable PGx	{34032273}	f	\N	\N
1556299	SLCO1B1	RxNorm:83367	100426	t	70	A	1A	\N	{35152405}	f	\N	\N
110078	HLA-B	RxNorm:190521	100421	t	81	A	1A	Testing Required	{24561393,22378157}	f	\N	\N
110079	HLA-B	RxNorm:519	100422	t	82	A	1A	Testing Recommended	{23232549,26094938}	f	\N	\N
110080	CYP2C19	RxNorm:704	100414	t	79	A	1A	\N	{23486447,27997040}	f	\N	\N
110084	NUDT15	RxNorm:1256	100428	t	81	A	1A	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
110085	TPMT	RxNorm:1256	100428	t	81	A	1A	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
110092	CYP2D6	RxNorm:2670	100416	t	79	A	1A	Actionable PGx	{22205192,24458010,33387367}	f	\N	\N
110095	CYP2B6	RxNorm:195085	104245	t	80	A	1A	Actionable PGx	{31006110}	f	\N	\N
1556302	CYP2C9	RxNorm:41127	100426	t	59	A	1A	\N	{35152405}	f	\N	\N
110114	TPMT	RxNorm:103	100428	t	80	A	1A	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
110128	HLA-B	RxNorm:8183	100412	t	78	A	1A	Actionable PGx	{25099164,32779747}	f	\N	\N
110138	RYR1	RxNorm:10154	100427	t	78	A	1A	Actionable PGx	{30499100}	f	\N	\N
110139	CYP3A5	RxNorm:42316	100418	t	91	A	1A	\N	{25801146}	f	\N	\N
110144	TPMT	RxNorm:10485	100428	t	81	A	3	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
110147	CYP2C19	RxNorm:121243	100410	t	79	A	1A	Actionable PGx	{27981572}	f	\N	\N
110186	CYP2C19	RxNorm:3638	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110189	CYP2D6	RxNorm:42355	100413	t	78	B	1A	Actionable PGx	{25974703,37032427}	f	\N	\N
110194	CYP2C19	RxNorm:5691	100414	t	78	B	1A	\N	{23486447,27997040}	f	\N	\N
110291	UGT1A1	RxNorm:719872	\N	f	79	B/C	\N	Informative PGx	\N	f	\N	\N
110154	G6PD	RxNorm:1191	2405438	t	79	C	3	\N	{36049896}	f	\N	\N
418187	COMT	RxNorm:2670	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
418198	COMT	RxNorm:6813	100416	f	69	C	3	\N	{33387367}	f	\N	\N
110213	G6PD	RxNorm:9071	2405438	t	79	C	\N	Actionable PGx	{36049896}	f	\N	\N
110098	CYP2C19	RxNorm:321988	100413	t	80	A	1A	Actionable PGx	{25974703,37032427}	f	\N	\N
110099	DPYD	RxNorm:4492	100419	t	80	A	1A	Actionable PGx	{23988873,29152729}	f	\N	\N
110391	SLCO1B1	RxNorm:301542	100426	t	80	A	1A	Actionable PGx	{35152405}	f	\N	\N
110276	CYP2D6	RxNorm:6918	5290480	t	91	B	\N	\N	{38951961}	f	\N	\N
3122142	CYP2D6	RxNorm:2556	100413	f	38	C	3	Informative PGx	{37032427}	f	\N	\N
110102	HLA-B	RxNorm:72236	100412	t	79	A	\N	Actionable PGx	{25099164,32779747}	f	\N	\N
110157	MT-RNR1	ATC:D06AX07	826283	t	93	A	1A	Actionable PGx	{34032273}	f	\N	\N
110104	RYR1	RxNorm:5095	100427	t	79	A	1A	\N	{30499100}	f	\N	\N
110063	CYP2C9	RxNorm:5640	110058	t	82	A	1A	\N	{32189324}	f	\N	\N
110106	UGT1A1	RxNorm:51499	\N	f	91	A	1A	Testing Recommended	\N	f	\N	\N
110107	CACNA1S	RxNorm:6026	100427	t	79	A	1A	Actionable PGx	{30499100}	f	\N	\N
110108	RYR1	RxNorm:6026	100427	t	79	A	1A	Actionable PGx	{30499100}	f	\N	\N
110109	CFTR	RxNorm:1243041	100409	t	81	A	1A	Testing Required	{24598717}	f	\N	\N
110159	MT-RNR1	RxNorm:6099	826283	t	83	A	1A	\N	{34032273}	f	\N	\N
110110	CYP2C19	RxNorm:17128	110076	t	88	A	1A	\N	{32770672}	f	\N	\N
110065	CYP2C9	RxNorm:20890	110058	t	81	A	1A	\N	{32189324}	f	\N	\N
110067	CYP2C9	RxNorm:41493	110058	t	82	A	1A	Actionable PGx	{32189324}	f	\N	\N
110115	CACNA1S	RxNorm:6857	100427	t	78	A	1A	\N	{30499100}	f	\N	\N
110116	RYR1	RxNorm:6857	100427	t	78	A	1A	\N	{30499100}	f	\N	\N
110201	G6PD	RxNorm:6878	2405438	t	78	A	3	Actionable PGx	{36049896}	f	\N	\N
3004619	MT-RNR1	RxNorm:7299	826283	t	52	A	3	\N	{34032273}	f	\N	\N
110205	G6PD	RxNorm:7454	2405438	t	78	A	3	Actionable PGx	{36049896}	f	\N	\N
110118	CYP2C19	RxNorm:7646	110076	t	79	A	1A	Actionable PGx	{32770672}	f	\N	\N
110119	CYP2D6	RxNorm:26225	100417	t	79	A	1A	Informative PGx	{28002639}	f	\N	\N
110120	HLA-B	RxNorm:32624	100423	t	80	A	1A	Testing Recommended	{29392710}	f	\N	\N
110121	CYP2C19	RxNorm:40790	110076	t	78	A	1A	Actionable PGx	{32770672}	f	\N	\N
110122	CYP2D6	RxNorm:32937	100413	t	88	A	1A	\N	{25974703,37032427}	f	\N	\N
110123	IFNL3	RxNorm:120608	100424	t	78	A	1A	\N	{24096968}	f	\N	\N
110124	IFNL4	RxNorm:120608	100424	f	78	A	1A	\N	\N	f	\N	\N
110125	IFNL3	RxNorm:253453	100424	t	79	A	1A	Actionable PGx	{24096968}	f	\N	\N
110126	IFNL4	RxNorm:253453	100424	f	78	A	1A	\N	\N	f	\N	\N
110207	G6PD	RxNorm:1011650	2405438	t	80	A	3	Testing Required	{36049896}	f	\N	\N
110127	CYP2C9	RxNorm:8183	100412	t	78	A	1A	Actionable PGx	{25099164,32779747}	f	\N	\N
110071	CYP2C9	RxNorm:8356	110058	t	82	A	1A	Actionable PGx	{32189324}	f	\N	\N
1556298	SLCO1B1	RxNorm:861634	100426	t	59	A	1A	\N	{35152405}	f	\N	\N
110130	CYP2D6	RxNorm:2197878	\N	f	78	A	\N	Actionable PGx	\N	f	\N	\N
826285	MT-RNR1	RxNorm:2049549	826283	t	71	A	\N	Actionable PGx	{34032273}	f	\N	\N
110381	SLCO1B1	RxNorm:42463	100426	t	81	A	1A	\N	{35152405}	f	\N	\N
110211	G6PD	RxNorm:8687	2405438	t	80	A	3	Testing Required	{36049896}	f	\N	\N
110131	G6PD	RxNorm:283821	2405438	t	80	A	1A	Testing Required	{24787449,36049896}	f	\N	\N
110132	IFNL3	RxNorm:9344	100424	t	78	A	1A	\N	{24096968}	t	2020-09-14	Cleanup by Kelly Caudle
110215	ABCG2	RxNorm:301542	100426	t	80	A	1A	\N	{35152405}	f	\N	\N
110216	CYP2C19	RxNorm:36437	100413	t	78	A	1A	\N	{25974703,37032427}	f	\N	\N
110133	CACNA1S	RxNorm:36453	100427	t	78	A	1A	Actionable PGx	{30499100}	f	\N	\N
110134	RYR1	RxNorm:36453	100427	t	78	A	1A	Actionable PGx	{30499100}	f	\N	\N
110135	SLCO1B1	RxNorm:36567	100426	t	90	A	1A	\N	{22617227,24918167,35152405}	f	\N	\N
110136	CYP2C9	RxNorm:2121085	\N	f	81	A	1A	Testing Required	\N	f	\N	\N
110162	MT-RNR1	RxNorm:10109	826283	t	93	A	1A	Actionable PGx	{34032273}	f	\N	\N
110137	CACNA1S	RxNorm:10154	100427	t	78	A	1A	Actionable PGx	{30499100}	f	\N	\N
110140	G6PD	RxNorm:2054023	2405438	t	80	A	\N	Testing Required	{36049896}	f	\N	\N
110141	CYP2D6	RxNorm:10324	100415	t	79	A	1A	Actionable PGx	{29385237}	f	\N	\N
110072	CYP2C9	RxNorm:37790	110058	t	80	A	1A	\N	{32189324}	f	\N	\N
110164	MT-RNR1	RxNorm:10627	826283	t	93	A	1A	Actionable PGx	{34032273}	f	\N	\N
2452949	G6PD	RxNorm:10638	2405438	t	50	A	\N	\N	{36049896}	f	\N	\N
110145	CYP2D6	RxNorm:10689	100416	t	79	A	1A	Actionable PGx	{33387367}	f	\N	\N
110146	CYP2D6	RxNorm:27392	100417	t	78	A	1A	\N	{28002639}	f	\N	\N
110148	CYP2C9	RxNorm:11289	100425	t	78	A	1A	Actionable PGx	{21900891,28198005}	f	\N	\N
110091	CYP2C19	RxNorm:32968	100411	t	80	A	1A	Actionable PGx	{21716271,23698643,35034351}	f	\N	\N
110182	G6PD	RxNorm:3108	2405438	t	80	A	4	Actionable PGx	{36049896}	f	\N	\N
110094	RYR1	RxNorm:27340	100427	t	79	A	1A	Actionable PGx	{30499100}	f	\N	\N
3004618	MT-RNR1	RxNorm:3328	826283	t	50	A	1A	\N	{34032273}	f	\N	\N
110096	CACNA1S	RxNorm:3920	100427	t	80	A	1A	Actionable PGx	{30499100}	f	\N	\N
110097	RYR1	RxNorm:3920	100427	t	80	A	1A	Actionable PGx	{30499100}	f	\N	\N
110100	CYP2C9	RxNorm:4502	110058	t	79	A	1A	Actionable PGx	{32189324}	f	\N	\N
110101	CYP2C9	RxNorm:72236	100412	t	80	A	\N	Actionable PGx	{25099164,32779747}	f	\N	\N
1556300	SLCO1B1	RxNorm:6472	100426	t	59	A	1A	\N	{35152405}	f	\N	\N
110170	CYP4F2	RxNorm:154	\N	f	79	B	2A	\N	\N	f	\N	\N
110171	CYP2D6	RxNorm:89013	\N	f	79	B	1A	Actionable PGx	\N	f	\N	\N
110173	CYP2C19	RxNorm:1739745	\N	f	79	B	3	Actionable PGx	\N	f	\N	\N
110174	SCN1A	RxNorm:2002	\N	f	78	B	2B	\N	\N	f	\N	\N
110172	UGT1A1	RxNorm:1543543	\N	f	78	B	\N	Actionable PGx	\N	f	\N	\N
110175	NAGS	RxNorm:401713	\N	f	81	B	\N	Testing Required	\N	f	\N	\N
110183	CYP2D6	RxNorm:3247	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110184	CYP2C19	RxNorm:816346	110076	t	79	B	1A	Actionable PGx	{32770672}	f	\N	\N
110187	CYP2D6	RxNorm:3638	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110188	G6PD	RxNorm:4053	\N	f	78	B	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110193	CYP2D6	RxNorm:5489	100416	t	79	B	1A	\N	{33387367}	f	\N	\N
110195	CYP2D6	RxNorm:5691	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110196	G6PD	RxNorm:82122	\N	f	78	B	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110198	G6PD	RxNorm:6694	\N	f	78	B	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110203	HPRT1	RxNorm:7145	\N	f	94	B	\N	Actionable PGx	\N	f	\N	\N
110209	CYP4F2	RxNorm:8150	\N	f	79	B	3	\N	\N	f	\N	\N
110210	SCN1A	RxNorm:8183	\N	f	78	B	3	\N	\N	f	\N	\N
110214	CYP2D6	RxNorm:35636	\N	f	80	B	1A	Informative PGx	\N	f	\N	\N
3122076	CYP2B6	RxNorm:36437	100413	t	39	B	1A	\N	{37032427}	f	\N	\N
110223	CYP2C19	RxNorm:10834	100414	t	78	B	1A	\N	{23486447,27997040}	f	\N	\N
110224	CYP2D6	RxNorm:10834	100414	t	79	B	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110225	ABL2	RxNorm:11118	\N	f	78	B	\N	\N	\N	f	\N	\N
110165	POLG	RxNorm:11118	\N	f	80	A/B	3	Testing Required	\N	f	\N	\N
110226	ASL	RxNorm:11118	\N	f	78	B	\N	\N	\N	f	\N	\N
110227	ASS1	RxNorm:11118	\N	f	78	B	\N	\N	\N	f	\N	\N
110228	CPS1	RxNorm:11118	\N	f	78	B	\N	\N	\N	f	\N	\N
110229	NAGS	RxNorm:11118	\N	f	78	B	\N	\N	\N	f	\N	\N
110230	OTC	RxNorm:11118	\N	f	78	B	\N	Actionable PGx	\N	f	\N	\N
110167	CYP2D6	RxNorm:39786	100413	t	80	B	1A	Actionable PGx	{37032427}	f	\N	\N
110231	HLA-A	RxNorm:519	\N	f	78	B/C	2B	\N	\N	f	\N	\N
110232	NAT2	RxNorm:2106338	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110233	NAT2	RxNorm:2106337	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110234	CYP2D6	RxNorm:722	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110235	CYP2D6	RxNorm:725	\N	f	78	B/C	\N	Informative PGx	\N	f	\N	\N
110236	CYP2D6	RxNorm:1673265	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110239	CYP2C9	RxNorm:2045726	\N	f	89	B/C	\N	\N	\N	f	\N	\N
110240	CYP2D6	RxNorm:1658314	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110241	ADRB1	Drugbank:DB12752	\N	f	80	B/C	3	\N	\N	f	\N	\N
110242	CYP2C19	RxNorm:2101	\N	f	79	B/C	4	Actionable PGx	\N	f	\N	\N
110246	CYP2D6	RxNorm:44281	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110248	CYP2C19	RxNorm:21241	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110249	CYP2D6	RxNorm:2626	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110251	SLC28A3	RxNorm:3109	\N	f	78	B/C	\N	\N	\N	f	\N	\N
110253	CYP2D6	RxNorm:3289	\N	f	78	B/C	3	\N	\N	f	\N	\N
110254	CYP2C19	RxNorm:3322	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110255	UGT1A1	RxNorm:1433868	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110256	CYP2D6	RxNorm:135447	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110258	CYP2C9	RxNorm:224925	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110260	CYP2C9	RxNorm:2123125	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110262	CYP2D6	RxNorm:4441	\N	f	79	B/C	1A	\N	\N	f	\N	\N
110263	CYP2D6	RxNorm:328134	\N	f	78	B/C	3	Actionable PGx	\N	f	\N	\N
110264	CYP2D6	RxNorm:5093	\N	f	79	B/C	1A	\N	\N	f	\N	\N
110269	CYP2C9	RxNorm:1731031	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110274	CYP2D6	RxNorm:6915	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110279	CYP2D6	RxNorm:15996	\N	f	79	B/C	2A	\N	\N	f	\N	\N
110280	BCHE	RxNorm:30077	\N	f	106	B/C	\N	Actionable PGx	\N	f	\N	\N
110282	CYP2B6	RxNorm:53654	\N	f	79	B/C	2A	\N	\N	f	\N	\N
110283	UGT1A1	RxNorm:662281	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110284	HLA-B	RxNorm:714438	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110285	UGT1A1	RxNorm:714438	\N	f	79	B/C	3	Actionable PGx	\N	f	\N	\N
110286	CYP2D6	RxNorm:8076	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110287	NAT2	RxNorm:8700	\N	f	89	B/C	\N	Actionable PGx	\N	f	\N	\N
110290	CYP2D6	RxNorm:8886	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110292	BCHE	RxNorm:10154	\N	f	78	B/C	3	Actionable PGx	\N	f	\N	\N
110293	NAT2	RxNorm:10831	\N	f	80	B/C	3	Actionable PGx	\N	f	\N	\N
110294	NAT2	RxNorm:9524	\N	f	79	B/C	\N	Actionable PGx	\N	f	\N	\N
110296	CYP2D6	RxNorm:10502	\N	f	78	B/C	3	Actionable PGx	\N	f	\N	\N
110297	CYP2D6	RxNorm:10600	\N	f	78	B/C	3	\N	\N	f	\N	\N
110298	CYP2D6	RxNorm:1918219	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110299	CYP2D6	RxNorm:114176	\N	f	79	B/C	1A	\N	\N	f	\N	\N
110062	CYP2C9	RxNorm:16689	110058	f	80	C	\N	\N	{32189324}	f	\N	\N
110301	TNF	RxNorm:327361	\N	f	78	C	\N	\N	\N	f	\N	\N
418183	COMT	RxNorm:480	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
110302	OPRM1	RxNorm:480	100416	f	80	C	3	\N	{33387367}	f	\N	\N
110200	CYP2B6	RxNorm:6813	5290481	f	81	C	2A	\N	{38863207}	f	\N	\N
110153	ABCB1	ATC:N06A	\N	f	78	A/B	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110155	POLG	RxNorm:266856	\N	f	80	A/B	\N	Testing Required	\N	f	\N	\N
110156	CYP2D6	RxNorm:1547220	\N	f	80	A/B	\N	Testing Required	\N	f	\N	\N
110160	CYP2D6	RxNorm:2392230	\N	f	78	A/B	\N	Actionable PGx	\N	f	\N	\N
110161	CYP2D6	RxNorm:8331	\N	f	82	A/B	\N	Testing Required	\N	f	\N	\N
110163	CYP2D6	RxNorm:10390	\N	f	80	A/B	\N	Testing Required	\N	f	\N	\N
110166	GBA	RxNorm:901805	\N	f	81	A/B	\N	Testing Required	\N	f	\N	\N
2777623	CYP3A4	RxNorm:83367	100426	f	58	C	3	\N	\N	f	\N	\N
2777630	CYP3A5	RxNorm:83367	100426	f	58	C	3	\N	\N	f	\N	\N
2777770	HMGCR	RxNorm:83367	100426	f	58	C	3	\N	\N	f	\N	\N
418185	COMT	RxNorm:1819	100416	f	68	C	3	\N	{33387367}	f	\N	\N
418186	OPRM1	RxNorm:1819	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110311	MTHFR	RxNorm:194000	\N	f	78	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110312	HLA-B	RxNorm:2020	\N	f	79	C	3	\N	\N	f	\N	\N
110313	MTHFR	RxNorm:40048	\N	f	78	C	3	\N	\N	f	\N	\N
110177	G6PD	RxNorm:2348	2405438	t	78	C	3	\N	{36049896}	f	\N	\N
110178	G6PD	RxNorm:2404	2405438	f	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
110179	G6PD	RxNorm:2551	2405438	t	79	C	3	\N	{36049896}	f	\N	\N
110317	HTR2A	RxNorm:2556	100413	f	79	C	3	\N	{37032427}	f	\N	\N
110315	COMT	RxNorm:2556	\N	f	78	C	\N	\N	\N	f	\N	\N
110316	GRIK4	RxNorm:2556	\N	f	78	C	\N	\N	\N	f	\N	\N
110318	CES1	RxNorm:32968	\N	f	78	C	2B	\N	\N	f	\N	\N
110319	HTR2C	RxNorm:2626	\N	f	77	C	3	\N	\N	f	\N	\N
110320	MC4R	RxNorm:2626	\N	f	78	C	3	\N	\N	f	\N	\N
418188	OPRM1	RxNorm:2670	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110321	MTHFR	RxNorm:3002	\N	f	77	C	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110250	G6PD	RxNorm:1424911	2405438	f	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
110323	HLA-B	RxNorm:3108	\N	f	77	C	2A	\N	\N	f	\N	\N
110322	CYP3A5	RxNorm:3008	\N	f	78	C	3	\N	\N	f	\N	\N
110324	CYP2D6	RxNorm:136198	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
3122371	HTR2A	RxNorm:734064	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122500	SLC6A4	RxNorm:734064	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110059	CYP2C8	RxNorm:3355	110058	f	80	C	3	\N	{32189324}	f	\N	\N
110327	ABCB1	RxNorm:3407	\N	f	77	C	3	\N	\N	f	\N	\N
110185	G6PD	RxNorm:3445	2405438	t	78	C	3	\N	{36049896}	f	\N	\N
110328	CYP2D6	RxNorm:68091	\N	f	78	C	4	\N	\N	f	\N	\N
2452910	G6PD	RxNorm:3639	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110329	CYP2D6	RxNorm:72625	100413	f	78	C	\N	Actionable PGx	{37032427}	f	\N	\N
3122372	HTR2A	RxNorm:72625	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122501	SLC6A4	RxNorm:72625	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110330	F5	RxNorm:711942	\N	f	77	C	\N	Actionable PGx	\N	f	\N	\N
3122155	CYP2D6	RxNorm:321988	100413	f	38	C	3	\N	{37032427}	f	\N	\N
3122373	HTR2A	RxNorm:321988	100413	f	37	C	3	\N	{37032427}	f	\N	\N
110261	SLC6A4	RxNorm:321988	100413	f	80	C	4	\N	{37032427}	f	\N	\N
110331	COMT	RxNorm:321988	\N	f	77	C	\N	\N	\N	f	\N	\N
110332	GRIK4	RxNorm:321988	\N	f	77	C	\N	\N	\N	f	\N	\N
110334	TNF	RxNorm:214555	\N	f	77	C	2B	\N	\N	f	\N	\N
