installed_rank	version	description	type	script	checksum	installed_by	installed_on	execution_time	success
49	48	update guideline allele fn	SQL	V48__update_guideline_allele_fn.sql	-1854568090	cpic	2021-09-09 21:03:26.214156	30	t
50	49	fix allele findings	SQL	V49__fix_allele_findings.sql	976892510	cpic	2021-09-09 21:03:26.268771	65	t
51	50	fix IFNL3 lookup	SQL	V50__fix_IFNL3_lookup.sql	119727388	cpic	2021-10-13 17:22:27.82421	9	t
52	51	fix guideline allele fn	SQL	V51__fix_guideline_allele_fn.sql	798068262	cpic	2021-11-10 05:57:09.346894	62	t
53	52	recommendation alleles view	SQL	V52__recommendation_alleles_view.sql	-1879594301	cpic	2021-12-07 15:59:50.932388	98	t
54	\N	apply permissions	SQL	R__apply_permissions.sql	-1576403970	cpic	2021-12-07 15:59:51.080556	20	t
55	53	statins guideline	SQL	V53__statins_guideline.sql	-374639719	cpic	2022-02-16 23:10:42.374259	18	t
56	54	publication index	SQL	V54__publication_index.sql	-1084867310	cpic	2022-02-18 22:16:35.644864	11	t
57	55	allele frequency cache	SQL	V55__allele_frequency_cache.sql	778761699	cpic	2022-03-09 23:20:36.042025	13	t
58	56	gene legacy names	SQL	V56__gene_legacy_names.sql	-442391864	cpic	2022-03-17 23:13:23.411535	13	t
59	57	pgkb recs fn update	SQL	V57__pgkb_recs_fn_update.sql	415609266	cpic	2022-06-10 14:24:09.906199	22	t
42	41	publication files	SQL	V41__publication_files.sql	389573953	cpic	2021-05-11 18:22:43.398622	319	t
60	\N	apply permissions	DELETE	R__apply_permissions.sql	-1576403970	cpic	2022-08-16 07:29:30.595272	0	t
61	58	stats table	SQL	V58__stats_table.sql	1603923816	cpic	2022-08-16 07:35:43.159887	60	t
62	59	remove allele guideline	SQL	V59__remove_allele_guideline.sql	-1144551837	cpic	2022-09-14 17:55:53.477071	21	t
63	60	reference allele	SQL	V60__reference_allele.sql	1296637883	cpic	2022-09-14 17:55:53.52649	26	t
64	61	G6PD guideline prep	SQL	V61__G6PD_guideline_prep.sql	1983975991	cpic	2022-09-14 17:55:53.577532	28	t
65	62	G6PD flow charts	SQL	V62__G6PD_flow_charts.sql	626814934	cpic	2022-09-22 16:42:28.143006	29	t
66	63	fosphenytoin flow chart	SQL	V63__fosphenytoin_flow_chart.sql	1952328724	cpic	2022-09-30 13:34:29.608278	28	t
67	64	recommendation flags	SQL	V64__recommendation_flags.sql	-797174188	cpic	2023-02-27 19:42:13.143746	42	t
68	65	frequency flags	SQL	V65__frequency_flags.sql	-477833361	cpic	2023-03-23 11:54:36.147354	42	t
69	66	ssri snri guideline	SQL	V66__ssri_snri_guideline.sql	-1949888557	cpic	2023-04-12 19:43:47.434594	34	t
70	67	frequency view fix	SQL	V67__frequency_view_fix.sql	-1816979743	cpic	2023-09-01 14:42:15.154823	41	t
71	68	fix function definitions	SQL	V68__fix_function_definitions.sql	1243132888	cpic	2024-01-12 20:33:40.207106	11	t
72	69	change log releases	SQL	V69__change_log_releases.sql	1272931372	cpic	2024-05-09 15:03:57.003783	276	t
73	70	fix allele freq view	SQL	V70__fix_allele_freq_view.sql	-957778206	cpic	2024-10-03 15:13:15.938037	9	t
74	71	fix guideline summary view	SQL	V71__fix_guideline_summary_view.sql	-1334280856	cpic	2025-03-07 16:21:39.906989	8	t
75	72	gene cds changelog	SQL	V72__gene_cds_changelog.sql	1161542228	cpic	2025-08-13 13:08:11.731509	7	t
76	73	clinpgx guideline update	SQL	V73__clinpgx_guideline_update.sql	-1024347267	cpic	2025-08-13 13:08:11.764363	15	t
77	74	supplemental file cleanup	SQL	V74__supplemental_file_cleanup.sql	822347170	cpic	2025-08-21 13:23:06.297301	15	t
78	75	hydrazaline guideline	SQL	V75__hydrazaline_guideline.sql	1311712376	cpic	2025-09-08 15:29:54.084279	6	t
