id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7584118	113537	East Asian	Kinh in Ho Chi Minh City, Vietnam	KHV	1000 Genomes	99	1
7584119	116362	East Asian	Han Chinsese from Beijing	1000 Genomes	random blood donor	68	1
7584120	116362	East Asian	Han Chinese from south China	1000 Genomes	random blood donor	25	1
7584121	116362	East Asian	Japanese from Tokyo (Japan)	1000 Genomes	random blood donor	84	1
7584122	116367	East Asian	Japanese	\N	\N	50	1
7584123	116367	East Asian	Taiwanese	\N	\N	68	1
7584124	116367	East Asian	Korean	\N	\N	88	1
7584125	116379	East Asian	Chinese	\N	\N	165	1
7584126	116367	East Asian	Japanese	\N	\N	90	1
7584127	116367	East Asian	Taiwanese	\N	\N	92	1
7584128	116367	East Asian	Korean	\N	\N	96	1
7584129	116396	East Asian	Chinese	\N	\N	386	1
7584130	114023	East Asian	Japanese	\N	\N	530	1
7584131	116379	East Asian	Malay	\N	\N	196	1
7584132	113537	European	Utah Residents (CEPH) with Northern and Western Ancestry	CEU	1000 Genomes	99	1
7584133	113537	European	Toscani in Italia	TSI	1000 Genomes	107	1
7584134	113537	European	Finnish in Finland	FIN	1000 Genomes	99	1
7584135	113537	European	British in England and Scotland	GBR	1000 Genomes	91	1
7584136	113537	European	Iberian Population in Spain	IBS	1000 Genomes	107	1
7584137	116362	European	European-American	1000 Genomes	random blood donor	59	1
7584138	116362	European	Northern and Western European from UT (USA)	1000 Genomes	random blood donor	90	1
7584139	116362	European	Toscani from Italy	1000 Genomes	random blood donor	92	1
7584140	116362	European	Bristish from England and Scotland	1000 Genomes	random blood donor	43	1
7584141	116362	European	Finnish	1000 Genomes	random blood donor	36	1
7584142	116365	European	Caucasian	AIDS Clinical Trial Group protocols 384, A5095, A5097	\N	399	1
7584143	116411	European	White	\N	HIV positive	141	1
7584144	116367	European	Caucasian	\N	\N	430	1
7584145	116414	European	Caucasian	\N	\N	255	1
7584146	116416	European	Spaniard	\N	\N	180	1
7584147	116377	European	Finnish	\N	\N	11138	1
7584148	116377	European	non-Finnish	\N	\N	55856	1
7584149	116420	European	Caucasian	\N	British healthy volunteer	135	1
7584150	116422	European	Caucasian	\N	\N	215	1
7584151	113537	Latino	Mexican Ancestry from Los Angeles USA	MXL	1000 Genomes	64	1
7584152	113537	Latino	Puerto Ricans from Puerto Rico	PUR	1000 Genomes	104	1
7584153	113537	Latino	Colombians from Medellin, Colombia	CLM	1000 Genomes	94	1
7584154	113537	Latino	Peruvians from Lima, Peru	PEL	1000 Genomes	85	1
7584155	116362	Latino	Mexican ancestry from Los Angeles (CA, USA)	1000 Genomes	random blood donor	17	1
7584156	116362	Latino	Puerto Rican from Puerto Rico (USA)	1000 Genomes	random blood donor	5	1
7584157	116365	Latino	Hispanic	AIDS Clinical Trial Group protocols 384, A5095, A5097	\N	150	1
7584158	116411	Latino	Hispanic-American	\N	HIV positive	7	1
7584159	\N	Latino	Latino	\N	gnomAD exomes	13686	1
7584160	116416	Latino	Central American mestizos	\N	\N	181	1
7584161	116369	Latino	Colombian mestizo individuals	\N	\N	125	1
7584162	116435	Near Eastern	Iranian Baluchi	Sistan and Baluchistan Province, Iran	healthy, unrelated, subjects	206	1
7584163	116437	Oceanian	Papua New Guinean	\N	\N	174	1
7584164	113537	Sub-Saharan African	Yoruba in Ibadan, Nigeria	YRI	1000 Genomes	108	1
7584165	113537	Sub-Saharan African	Luhya in Webuye, Kenya	LWK	1000 Genomes	99	1
7584166	113537	Sub-Saharan African	Gambian	GWD	1000 Genomes	113	1
7584167	113537	Sub-Saharan African	Mende in Sierra Leone	MSL	1000 Genomes	85	1
7584168	113537	Sub-Saharan African	Esan in Nigeria	ESN	1000 Genomes	99	1
7584169	116362	Sub-Saharan African	Yoruba from Ibadan (Nigeria)	1000 Genomes	random blood donor	78	1
7584170	116362	Sub-Saharan African	Luhya from Webuye (Kenya)	1000 Genomes	random blood donor	67	1
7584171	116446	Sub-Saharan African	Ugandan	\N	HIV positive, no TB	106	1
7584172	116446	Sub-Saharan African	Ugandan	\N	HIV+TB positive	157	1
7584173	116449	Sub-Saharan African	South African	Bantu-speaking	HIV positive	295	1
7584174	116449	Sub-Saharan African	South African	Bantu-speaking	healthy	163	1
7584175	116452	Sub-Saharan African	Zimbabwean	HIV positve	\N	49	1
7584176	116454	Sub-Saharan African	ugandan	\N	healthy subjects	121	1
7584177	116367	Sub-Saharan African	Ghanian	\N	healthy volunteer	82	1
7584178	116367	Sub-Saharan African	Ghanian	\N	\N	64	1
7584179	116411	Sub-Saharan African	Swiss HIV cohort black	\N	HIV positive	16	1
7584180	116459	Sub-Saharan African	sub-Saharan Africa population	\N	HIV-TB coinfected	158	1
7584181	115639	African American/Afro-Caribbean	African-American	Tennessee	healthy	76	1
7584182	115641	African American/Afro-Caribbean	African-American	Kansas City	healthy subjects	100	1
7584183	115643	African American/Afro-Caribbean	African-American	Durham and Chapel Hill	healthy	108	1
7584184	115645	African American/Afro-Caribbean	African American	Los Angeles	\N	236	1
7584185	114389	African American/Afro-Caribbean	African-American	Kentucky	mentally ill patients	478	1
7584186	115648	African American/Afro-Caribbean	African-American	Kansas City	sample repository	114	1
7584187	115650	African American/Afro-Caribbean	African-American	US	n/a	149	1
7584188	115652	African American/Afro-Caribbean	African-American	New York	healthy blood donors	250	1
7584189	115656	African American/Afro-Caribbean	African-American	\N	from TRIUMPH study	670	1
7584190	115654	African American/Afro-Caribbean	African-American	\N	from PEAR and INVEST studies	181	1
7584191	115658	African American/Afro-Caribbean	African-American	Americans of African Ancestry in SW USA	1000 Genomes	61	1
7584192	115658	African American/Afro-Caribbean	African Caribbean in Barbados	1000 Genomes population (ACB)	\N	96	1
7584193	115661	American	Canadian	Native Indians	\N	159	1
7584194	115663	American	Brazilian Amerinidian	Guarani and Tupinikin, Espirito Santo State	general population	183	1
7584195	114461	American	Mexican	Purepechas , Michoacan, West Mexoco	healthy	101	1
7584196	114461	American	Mexican	Tarahumaras, Chihuahua, North Mexico	healthy	84	1
7584197	114461	American	Mexican	Tojolabales, Chiapas, Southeast Mexico	healthy	68	1
7584198	114461	American	Mexican	Tzotziles, Chiapas, Southeast Mexico	healthy	88	1
7584199	115665	American	Brazilian	Guarani Amerindians	healthy	90	1
7584200	115671	American	Native Americans	Oglala Sioux tribe	healthy controls (n=50), CAD (n=50)	100	1
7584201	114444	American	US	American Indian, Northwestern US	patients with PGx testing	113	1
7584202	115673	American	Mexican Amerindian Indigenous	\N	healthy	150	1
7584203	115676	Central/South Asian	North Indian	\N	healthy	121	1
7584204	115678	Central/South Asian	Tamilian	living in Tamilnadu and Pondicherry	healthy	112	1
7584205	115680	Central/South Asian	South Indian	Andrah Pradash	healthy	115	1
7584206	115680	Central/South Asian	South Indian	Karnataka	healthy	108	1
7584207	115680	Central/South Asian	South Indian	Kerala	healthy	118	1
7584208	115684	Central/South Asian	South Indian	Andhra pradash, Karnataka, Kerala, Tamilnadu	healthy	300	1
7584209	115686	Central/South Asian	Western India	Maharashtrian (India)	\N	139	1
7584210	115688	Central/South Asian	North Indian	\N	head and neck cancer patients, controls	600	1
7584211	115690	Central/South Asian	North Indian	\N	GI patients	91	1
7584212	115692	Central/South Asian	South Indian	Andhra Pradesh, Karnataka, Kerala, Tamilnadu, Pondicherry	healthy	50	1
7584213	115694	Central/South Asian	South Indian	Andhra/Pradesh/Karnataka/Kerala/Tamilnadu/Pondicherry	healthy	58	1
7584214	115726	Central/South Asian	Chinese	Kazakh	healthy	107	1
7584215	115700	Central/South Asian	Pakistani	\N	breast cancer	68	1
7584664	116735	American	Mexican	Maya	\N	44	1
7584216	115696	Central/South Asian	North Indian	\N	epilepsy patients, controls	457	1
7584217	115702	Central/South Asian	Tamilian	living in Pondicherry	epilepsy patients, no PHT toxicity	234	1
7584218	115698	Central/South Asian	North Indian	\N	head and neck cancer patients, controls	750	1
7584219	115704	Central/South Asian	Indian	South Indian	healthy	220	1
7584220	115706	Central/South Asian	Indian	Tamilian	healthy	206	1
7584221	115708	Central/South Asian	Indian	Singapore	ramdon subjects receiving blood counts	100	1
7584222	115710	Central/South Asian	Indian	Tamilian	91% ischemic heart disease patients	149	1
7584223	115712	Central/South Asian	North Indian	Punjab, Haryana, Delhi, Uttar Pradesh, Bihar	subjects of Indian Diabetes Consortium study	2128	1
7584224	115714	Central/South Asian	North Indian	Haryana	healthy	308	1
7584225	115716	Central/South Asian	Indian	New Delhi	ACS/CAD patients , control	144	1
7584226	115718	Central/South Asian	Indian	Mumbai	invasive fungal infections	55	1
7584227	115722	Central/South Asian	Sri Lanka	Moors	healthy	78	1
7584228	115722	Central/South Asian	Sri Lanka	Sinhalese	healthy	55	1
7584229	115722	Central/South Asian	Sri Lanka	Tamils	healthy	73	1
7584230	115720	Central/South Asian	South Indian	\N	alcohol withdrawal + healthy controls	156	1
7584231	115728	East Asian	Japanese	\N	healthy	186	1
7584232	115734	East Asian	Korean	\N	healthy	103	1
7584233	115730	East Asian	Japanese	\N	healthy	217	1
7584234	115732	East Asian	Japanese	\N	misc patients	233	1
7584235	115643	East Asian	Filipinos	living in Riyadh	\N	52	1
7584236	115643	East Asian	Japanese	Tokyo	\N	53	1
7584237	115643	East Asian	Taiwanese	\N	healthy	118	1
7584238	115736	East Asian	Bai Chinese	Yunnan	healthy	202	1
7584239	115736	East Asian	Han Chinese	Hunan	healthy	101	1
7584240	115741	East Asian	Japanese	\N	ulcer patients	62	1
7584241	115743	East Asian	Japanese	\N	healthy	140	1
7584242	115747	East Asian	Japanese	\N	epileptic patients	175	1
7584243	115745	East Asian	Japanese	\N	epilepsy patients	134	1
7584244	115749	East Asian	Chinese	Hong Kong Chinese	depressive disorder patients and healthy controls	119	1
7584245	115751	East Asian	Japanese	\N	GI patients	108	1
7584246	115755	East Asian	Japanese	\N	GI patients	101	1
7584247	115757	East Asian	Japanese	\N	Gastric ulcer patients	261	1
7584248	115759	East Asian	Japanese	\N	healty	50	1
7584249	115753	East Asian	Chinese	\N	healthy with or w/o GI problems	121	1
7584250	115753	East Asian	Japanese	\N	healthy with or w/o GI problems	96	1
7584251	115753	East Asian	Thai	\N	healthy with or w/o GI problems	121	1
7584252	115753	East Asian	Vietnamese	\N	healthy with or w/o GI problems	90	1
7584253	115762	East Asian	Japanese	\N	psychiatric patients	51	1
7584254	115768	East Asian	Japanese	\N	GI patients	65	1
7584255	115766	East Asian	Chinese	Dai	healthy	196	1
7584256	115770	East Asian	Thai	Northeastern	\N	107	1
7584257	115774	East Asian	Korean	\N	Gastric or duodenal ulcer patients	116	1
7584258	115772	East Asian	Japanese	Hokkaido	healthy	196	1
7584259	115783	East Asian	Japanese	\N	Gastric or duodenal ulcer or gastritis patients	350	1
7584260	115788	East Asian	Taiwanese	\N	epilepsy patients	169	1
7584261	115776	East Asian	Chinese	Han	healthy	70	1
7584262	115785	East Asian	Japanese	\N	healthy	80	1
7584263	115780	East Asian	Chinese	Uygur	\N	96	1
7584264	115780	East Asian	Han Chinese	\N	healthy	104	1
7584265	115778	East Asian	Chinese	Malaysia	healthy	54	1
7584266	115778	East Asian	Malay	\N	healthy	68	1
7584267	115790	East Asian	Japanese	\N	healthy and diabetics	253	1
7584268	115792	East Asian	Japanese	\N	Gastric or duodenal ulcer or gastritis patients	141	1
7584269	115794	East Asian	Japanese	\N	\N	63	1
7584270	115796	East Asian	Japanese	\N	healthy	139	1
7584271	115798	East Asian	Japanese	\N	GI patients	173	1
7584272	115800	East Asian	Japanese	\N	GI patients	426	1
7584273	115810	East Asian	Japanese	\N	healthy	54	1
7584274	113953	East Asian	Chinese	Han, living in Taiwan	healthty	180	1
7584275	115645	East Asian	East Asian	Los Angeles	healthy	161	1
7584276	115645	East Asian	Southeast Asian	Los Angeles	healthy	80	1
7584277	115812	East Asian	Japanese	\N	healthy	203	1
7584278	115804	East Asian	Burmese	\N	healthy	127	1
7584279	115804	East Asian	Korean	\N	healthy	131	1
7584280	115804	East Asian	Thai	\N	healthy	774	1
7584281	115807	East Asian	Chinese	\N	psychiatry patients	53	1
7584282	115821	East Asian	Japanese	\N	GI patients	300	1
7584283	115823	East Asian	Japanese	\N	healthy	487	1
7584284	115833	East Asian	Korean	southeast Korean peninsula	\N	377	1
7584285	115833	East Asian	Vietnamese	Kinh living in Hanoi	\N	165	1
7584286	115831	East Asian	Korean	\N	epilepsy patients	97	1
7584287	115825	East Asian	Japanese	\N	kidney transplant recipients	73	1
7584288	115827	East Asian	Japanese	\N	cancer patients	103	1
7584289	115817	East Asian	Chinese	\N	NSCLC patients	59	1
7584290	115819	East Asian	Chinese	Li living in Wuzhishan and Haikou	healthy	165	1
7584291	115829	East Asian	Japanese	\N	healthy	352	1
7584292	115836	East Asian	Chinese	Han	healthy	384	1
7584293	115842	East Asian	Korean	\N	GI patients	323	1
7584294	114092	East Asian	Russians	Tomsk	healthy	82	1
7584295	114092	East Asian	Siberian	Altaians	healthy	87	1
7584296	114092	East Asian	Siberian	Buryats	healthy	88	1
7584297	114092	East Asian	Siberian	Tuvinians	healthy	88	1
7584298	114092	East Asian	Siberian	Yakuts	healthy	88	1
7584299	114548	East Asian	Chinese	\N	healthy	101	1
7584300	114548	East Asian	Japanese (1st generation)	\N	healthy	105	1
7584301	114548	East Asian	Japanese (3rd generation)	\N	healthy	84	1
7584302	114548	East Asian	Japanese (native)	\N	healthy	100	1
7584303	114548	East Asian	Korean	\N	healthy	100	1
7584304	115802	East Asian	Japanese	\N	healthy	265	1
7584305	115852	East Asian	Japanese	\N	GERD patients	124	1
7584306	115854	East Asian	Japanese	\N	liver donors	55	1
7584307	115854	East Asian	Japanese	\N	transplant recipients	55	1
7584308	115845	East Asian	Chinese	Beijing	epilepsy patients	287	1
7584309	115865	East Asian	Korean	\N	MI patients	136	1
7584310	115867	East Asian	Korean	\N	patients with drug-induced hepatitis, controls	226	1
7584311	115869	East Asian	Korean	\N	CHD patients	386	1
7584312	115857	East Asian	Japanese	\N	breast cancer/no ADRs	140	1
7584313	115857	East Asian	Japanese	\N	breast cancer/with ADRs	76	1
7584314	115860	East Asian	Japanese	\N	breast cancer patients	173	1
7584315	115862	East Asian	Japanese	1st generation descendents, living in Brazil	\N	126	1
7584316	115862	East Asian	Japanese	native Japanese, living in Brazil	\N	200	1
7584317	115847	East Asian	Chinese	Singapore	\N	107	1
7584318	114656	East Asian	Vietnamese	\N	\N	78	1
7584319	115726	East Asian	Chinese	Han	healthy	103	1
7584320	115726	East Asian	Chinese	Uygur	healthy	149	1
7584321	114554	East Asian	Chinese	58 subjects, 42 subjects CHB HapMap Project	healthy/cell lines	100	1
7584322	115882	East Asian	Korean	\N	Cardiology patients	134	1
7584323	115884	East Asian	Korean	\N	CHD patients	126	1
7584324	115886	East Asian	Korean	\N	\N	176	1
7584325	115888	East Asian	Korean	\N	healthy	271	1
7584326	115890	East Asian	Korean	Seoul	GI patients	463	1
7584327	115872	East Asian	Chinese	\N	non-ulcer dyspepsia patients	204	1
7584328	114558	East Asian	Chinese	Han living in Singapore	\N	398	1
7584329	114558	East Asian	East Asian	Chinese, Japanese, Korean	\N	246	1
7584330	114558	East Asian	Japanese	Fukoda and Tokyo	\N	500	1
7584331	114558	East Asian	Korean	\N	\N	200	1
7584332	115880	East Asian	Japanese	\N	\N	51	1
7584333	115893	East Asian	Korean	\N	healthy	150	1
7584334	115895	East Asian	Taiwanese	\N	\N	100	1
7584335	115875	East Asian	Chinese	Uygur	CAD patients	336	1
7584336	115875	East Asian	Chinese	Uygur	controls	370	1
7584337	115904	East Asian	Korean	\N	Cardiology patients	190	1
7584338	115897	East Asian	Chinese	Han Chinese	healthy	1120	1
7584339	115897	East Asian	Chinese	Han Chinese	hypertensive patients	1249	1
7584340	115906	East Asian	Thai	\N	SLE patients, controls	71	1
7584341	115900	East Asian	Chinese	Han Chinese	healthy	200	1
7584342	115902	East Asian	Japanese	\N	CHD patients	201	1
7584343	115708	East Asian	Chinese	Singapore	ramdon subjects receiving blood counts	100	1
7584344	115708	East Asian	Malayans	Singapore	ramdon subjects receiving blood counts	100	1
7584345	115909	East Asian	Chinese	Han Chinese ( Northern, Hebei Province)	healthy	1000	1
7584346	115909	East Asian	Chinese	Han Chinese (Southern, Zhejiang Province)	healthy	1127	1
7584347	114574	East Asian	Chinese	Han Chinese	\N	214	1
7584348	114574	East Asian	Chinese	Hui Chinese	Ningxia Hui Autonomous Region of China	111	1
7584349	114574	East Asian	Chinese	Mongolian Chinese	Inner Mongolia Autonomous Region of China	129	1
7584350	114560	East Asian	Chinese	Han Chinese (Liaoning Province)	healthy	136	1
7584351	114560	East Asian	Chinese	Hui Chinese (Ningxia Province)	healthy	164	1
7584352	114560	East Asian	Chinese	Mongolian Chinese (Xinjiang Province)	healthy	158	1
7584353	114560	East Asian	Chinese	Uighur Chinese (Neimenggu Province)	healthy	214	1
7584354	115920	East Asian	Korean	\N	invasive aspergillosis	104	1
7584355	115652	East Asian	Asian	New York	healthy blood donors	250	1
7584356	113880	East Asian	Indonesians	Bandung, West Java	healthy	103	1
7584357	113880	East Asian	Indonesians	Bandung, West Java	patients (cardiavasular)	103	1
7584358	115924	East Asian	Thai	\N	not specified, n=96 with CAD	1051	1
7584359	115930	East Asian	Chinese	\N	non-small cell lung cancer	156	1
7584360	115945	East Asian	Korean	\N	acute coronary syndrome	155	1
7584361	115941	East Asian	Japanese	\N	H. pylori infection	180	1
7584362	115939	East Asian	Japanese	\N	CAD	104	1
7584363	115926	East Asian	Chinese	\N	CAD	145	1
7584364	115932	East Asian	Chinese	Han Chinese	cardiovascular and cerebrovascular disease	220	1
7584365	115932	East Asian	Chinese	Uyghur	cardiovascular and cerebrovascular disease	800	1
7584366	115937	East Asian	Japanese	\N	healthy	74	1
7584367	115943	East Asian	Japanese	\N	chronic kidney disease, controls	331	1
7584368	115947	East Asian	Thai	Bangkok	CAD	211	1
7584369	115922	East Asian	Taiwanese	\N	healthy	1038	1
7584370	115928	East Asian	Chinese	\N	CAD	840	1
7584371	115658	East Asian	Chinese	1000 Genomes population (CHB)	\N	103	1
7584372	114567	East Asian	Chinese	Han	Eastern Han	229	1
7584373	115956	East Asian	Korean	\N	ischemic stroke	76	1
7584374	115949	East Asian	Chinese	\N	coronary syndrome patients	116	1
7584375	114613	East Asian	Japanese	\N	healthy	1017	1
7584376	115934	East Asian	Chinese	\N	ischemic stroke	211	1
7584377	115951	East Asian	Chinese	Uighur	northwest China	96	1
7584378	115960	East Asian	Chinese	Tibetan	Tibet autonomous region	96	1
7584379	115958	East Asian	Chinese	Wenzhou	ischemic stroke + healthy	375	1
7584380	115971	European	German	\N	healthy	174	1
7584381	115973	European	Swedish	\N	\N	160	1
7584382	115643	European	European-American	Durham and Chapel Hill	healthy	105	1
7584383	115976	European	Portuguese	\N	healthy	153	1
7584384	115978	European	Danish	\N	very old, youny controls	303	1
7584385	115980	European	European	\N	healthy	173	1
7584386	115982	European	French	\N	control group	173	1
7584387	115986	European	Swedish	\N	GI patients	143	1
7584388	115988	European	Swedish	\N	controls	248	1
7584389	115990	European	Swedish	\N	Alzheimer disease patients, controls	110	1
7584390	115992	European	French	\N	lung cancer patients	152	1
7584391	115994	European	British	\N	leukemia, controls	952	1
7584392	114688	European	Dutch	\N	healthy	745	1
7584393	116001	European	Swiss	\N	\N	113	1
7584394	115997	European	English	\N	cancer, controls	1082	1
7584395	115999	European	Italian	\N	receiving warfarin	93	1
7584396	116003	European	Belgian	\N	\N	121	1
7584397	114674	European	Croatian	Zagreb	healthy	200	1
7584398	116012	European	Norwegian	\N	blood donors	94	1
7585017	117187	Near Eastern	Iranian	\N	\N	160	1
7584399	116005	European	Caucasian	Mayo Clinic Rochester	GI patients	60	1
7584400	114767	European	Russian	Voronezh	controls, general outpatients	290	1
7584401	116008	European	German	\N	healthy	95	1
7584402	116010	European	German	Dusseldorf, Bad Bentheim, Bad Salzschliff	psoriasis patients, controls	553	1
7584403	116015	European	German	\N	GI patients	193	1
7584404	114720	European	Italian	\N	healthy	360	1
7584405	116029	European	Spanish	Barcelona	psychiatric patients, controls	307	1
7584406	116033	European	Swiss	\N	patients on methadone	208	1
7584407	116027	European	Polish	\N	GI patients	70	1
7584408	114693	European	Faroese	\N	healthy	312	1
7584409	116031	European	Spanish	Barcelona	cancer patients, controls	672	1
7584410	116025	European	Western European	\N	GERD patients	205	1
7584411	116021	European	German	Munich	depression patients	49	1
7584412	116023	European	German	Berlin	cancer	60	1
7584413	116018	European	Dutch	\N	psychiatry patients	69	1
7584414	116046	European	Swiss	Geneva	patients on methadone	245	1
7584415	116036	European	Finnish	\N	medical autopsy	177	1
7584416	116042	European	Polish	\N	GI patients	125	1
7584417	116038	European	German	Frankfurt	healthy	51	1
7584418	115645	European	Caucasian	\N	\N	273	1
7584419	116040	European	Norwegian	\N	psychiatric patients	83	1
7584420	116044	European	Swedish	\N	\N	314	1
7584421	116051	European	German	Essen	transplant patients, controls	573	1
7584422	116057	European	Swiss	Geneva	healthy	94	1
7584423	116053	European	Italian	\N	cardiovascular patients	1419	1
7584424	114119	European	Finnish	\N	healthy	440	1
7584425	116055	European	Portuguese	\N	blood donors	126	1
7584426	116048	European	Bulgarian	\N	cardiovascular patients	96	1
7584427	116068	European	French	Eastern France	healthy	359	1
7584428	116084	European	Slovenian	\N	RA patients	105	1
7584429	116062	European	Dutch	\N	cancer patients	124	1
7584430	116064	European	Dutch	\N	cancer patients	113	1
7584431	116086	European	Swiss	Geneva	\N	81	1
7584432	116070	European	French	\N	coronary syndrome patients	601	1
7584433	116072	European	German	Tübingen	CAD, controls	423	1
7584434	116059	European	Caucasian	\N	coronary intervention patients	60	1
7584435	116082	European	Russian	\N	cancer patients	159	1
7584436	116080	European	Polish	\N	cardiovascular patients	105	1
7584437	114548	European	Caucasian	\N	\N	143	1
7584438	116076	European	Norwegian	\N	psychiatric patients	121	1
7584439	116078	European	Norwegian	\N	psychiatric patients	166	1
7584440	116066	European	Dutch	\N	psychiatry patients	181	1
7584441	116074	European	German	\N	coronary intervention	797	1
7584442	116109	European	Slovenian	Ljubljana	arthritis patients	71	1
7584443	116091	European	European-American	Virginia, USA	acute coronary syndrome, controls	186	1
7584444	114389	European	Caucasian	Kentucky	mentally ill patients	4450	1
7584445	116093	European	French	\N	acute coronary syndrome patients	598	1
7584446	116107	European	Italian	\N	cardiovascular patients	772	1
7584447	116097	European	German	Bonn	breast cancer, controls	1989	1
7584448	116089	European	Danish	Copenhagen	lichen planus patients, controls	300	1
