id	phenotypeid	lookupkey	function1	function2	activityvalue1	activityvalue2	totalactivityscore	description
7483899	7483898	{"1.0": 1, "2.0": 1}	Increased function	Normal function	2.0	1.0	3.0	An individual carrying one duplicated normal function allele and one normal function allele or a duplication of a decreased function allele with an activity value of 0.5
7483997	7483996	{"0.5": 1, "2.0": 1}	Increased function	Decreased function	2.0	0.5	2.5	An individual carrying one duplicated normal function allele and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484077	7484076	{"2.0": 1, "0.25": 1}	Increased function	Decreased function	2.0	0.25	2.25	An individual carrying one duplicated normal function allele and one decreased function allele with an activity value of 0.25
7484145	7484144	{"0.0": 1, "2.0": 1}	Increased function	No function	2.0	0.0	2.0	An individual carrying one duplicated normal function allele and one no function allele
7484435	7484434	{"0.75": 2}	Decreased function	Decreased function	0.75	0.75	1.5	An individual carrying two alleles with three copies of a decreased function allele with an activity value of 0.25
7484438	7484437	{"1.0": 1, "0.75": 1}	Decreased function	Normal function	0.75	1.0	1.75	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one normal function allele or a duplication of a decreased function allele with an activity value of 0.5
7484456	7484455	{"0.5": 1, "0.75": 1}	Decreased function	Decreased function	0.75	0.5	1.25	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484471	7484470	{"0.25": 1, "0.75": 1}	Decreased function	Decreased function	0.75	0.25	1.0	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.25
7484484	7484483	{"0.0": 1, "0.75": 1}	Decreased function	No function	0.75	0.0	0.75	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one no function allele
7484533	7484144	{"1.0": 2}	Normal function	Normal function	1.0	1.0	2.0	An individual carrying two normal function alleles or one normal function allele and a duplication of a decreased function allele with an activity value of 0.5 or two alleles with a duplication of a decreased function allele with an activity value of 0.5
7484670	7484434	{"0.5": 1, "1.0": 1}	Normal function	Decreased function	1.0	0.5	1.5	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484879	7484455	{"1.0": 1, "0.25": 1}	Normal function	Decreased function	1.0	0.25	1.25	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one decreased function allele with an activity value of 0.25
7485056	7484470	{"0.0": 1, "1.0": 1}	Normal function	No function	1.0	0.0	1.0	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one no function allele
7485825	7484470	{"0.5": 2}	Decreased function	Decreased function	0.5	0.5	1.0	An individual carrying two decreased function alleles with an activity value of 0.5 or one decreased function allele with an activity value of 0.5 and a duplication of a decreased function allele with an activity value of 0.25 or two alleles with a duplication of an decreased function allele with an activity value of 0.25
7485917	7484483	{"0.5": 1, "0.25": 1}	Decreased function	Decreased function	0.5	0.25	0.75	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.25
7486062	7486061	{"0.0": 1, "0.5": 1}	Decreased function	No function	0.5	0.0	0.5	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one no function allele
7486687	7486061	{"0.25": 2}	Decreased function	Decreased function	0.25	0.25	0.5	An individual carrying two decreased function alleles with an activity value of 0.25
7486755	7486754	{"0.0": 1, "0.25": 1}	Decreased function	No function	0.25	0.0	0.25	An individual carrying one decreased function allele with an activity value of 0.25 and one no function allele
7487285	7487284	{"0.0": 2}	No function	No function	0.0	0.0	0.0	An individual carrying two no function alleles
7488463	7488462	{"n/a": 1, "≥3.0": 1}	Uncertain function	Increased function	n/a	≥3.0	n/a	An individual carrying one allele with multiplications of a normal function allele and one uncertain or unknown function allele
7488636	7488462	{"2.0": 1, "n/a": 1}	Uncertain function	Increased function	n/a	2.0	n/a	An individual carrying one duplicated normal function allele and one uncertain or unknown function allele
7489153	7488462	{"n/a": 1, "0.75": 1}	Uncertain function	Decreased function	n/a	0.75	n/a	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7489240	7488462	{"1.0": 1, "n/a": 1}	Uncertain function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one uncertain or unknown function allele
7490617	7488462	{"0.5": 1, "n/a": 1}	Uncertain function	Decreased function	n/a	0.5	n/a	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7491736	7488462	{"n/a": 1, "0.25": 1}	Uncertain function	Decreased function	n/a	0.25	n/a	An individual carrying one decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7492683	7488462	{"0.0": 1, "n/a": 1}	Uncertain function	No function	n/a	0.0	n/a	An individual carrying one no function allele and one uncertain function or unknown allele
7496812	7488462	{"n/a": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles or two unknown function alleles or one unknown and one uncertain function allele
7500554	7488462	{"n/a": 1, "≥3.0": 1}	Unknown function	Increased function	n/a	≥3.0	n/a	An individual carrying one allele with multiplications of a normal function allele and one uncertain or unknown function allele
7500555	7488462	{"2.0": 1, "n/a": 1}	Unknown function	Increased function	n/a	2.0	n/a	An individual carrying one duplicated normal function allele and one uncertain or unknown function allele
7500556	7488462	{"n/a": 1, "0.75": 1}	Unknown function	Decreased function	n/a	0.75	n/a	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7500557	7488462	{"1.0": 1, "n/a": 1}	Unknown function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one uncertain or unknown function allele
7500558	7488462	{"0.5": 1, "n/a": 1}	Unknown function	Decreased function	n/a	0.5	n/a	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7500559	7488462	{"n/a": 1, "0.25": 1}	Unknown function	Decreased function	n/a	0.25	n/a	An individual carrying one decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7500560	7488462	{"0.0": 1, "n/a": 1}	Unknown function	No function	n/a	0.0	n/a	An individual carrying one no function allele and one uncertain function or unknown allele
7500561	7488462	{"n/a": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two uncertain function alleles or two unknown function alleles or one unknown and one uncertain function allele
7500562	7488462	{"n/a": 2}	Uncertain function	Unknown function	n/a	n/a	n/a	An individual carrying two uncertain function alleles or two unknown function alleles or one unknown and one uncertain function allele
7500564	7500563	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7500567	7500566	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7500572	7500571	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7500580	7500579	{"Normal function": 1, "Unknown function": 1}	Unknown function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one unknown function allele
7500584	7500583	{"No function": 1, "Unknown function": 1}	Unknown function	No function	n/a	n/a	n/a	An individual carrying one unknown function allele and one no function allele
7500591	7500583	{"Unknown function": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7500596	7500595	{"1.0": 2}	Normal function	Normal function	1.0	1.0	2.0	An individual carrying two normal function alleles
7502194	7502193	{"0.5": 1, "1.0": 1}	Normal function	Decreased function	1.0	0.5	1.5	An individual carrying one normal function allele and one decreased function allele
7502588	7502587	{"0.0": 1, "1.0": 1}	Normal function	No function	1.0	0.0	1.0	An individual carrying one normal function allele and one no function allele
7503765	7502587	{"0.5": 2}	Decreased function	Decreased function	0.5	0.5	1.0	An individual carrying two decreased function alleles
7503795	7503794	{"0.0": 1, "0.5": 1}	Decreased function	No function	0.5	0.0	0.5	An individual carrying one decreased function allele and one no function allele
7503944	7503943	{"0.0": 2}	No function	No function	0.0	0.0	0.0	An individual carrying two no function alleles
7504177	7504176	{"IV/Normal": 1}	IV/Normal	N/A	n/a	n/a	n/a	A person with one X chromosome carrying a non-deficient (class IV) allele
7504184	7504183	{"III/Deficient": 1}	III/Deficient	N/A	n/a	n/a	n/a	A person with one X chromosome carrying a deficient (class III) allele
7504222	7504183	{"II/Deficient": 1}	II/Deficient	N/A	n/a	n/a	n/a	A person with one X chromosome carrying a deficient (class II) allele
7504277	7504276	{"I/Deficient with CNSHA": 1}	I/Deficient with CNSHA	N/A	n/a	n/a	n/a	A person with one X chromosome carrying a deficient (class I) allele
7504364	7504176	{"IV/Normal": 2}	IV/Normal	IV/Normal	n/a	n/a	n/a	A person carrying two non-deficient (class IV) alleles
7504381	7504380	{"IV/Normal": 1, "III/Deficient": 1}	IV/Normal	III/Deficient	n/a	n/a	n/a	A person carrying one non-deficient (class IV) allele and one deficient (class III) allele
7504567	7504380	{"IV/Normal": 1, "II/Deficient": 1}	IV/Normal	II/Deficient	n/a	n/a	n/a	A person carrying one non-deficient (class IV) allele and one deficient (class II) allele
7504833	7504380	{"IV/Normal": 1, "I/Deficient with CNSHA": 1}	IV/Normal	I/Deficient with CNSHA	n/a	n/a	n/a	A person carrying one non-deficient (class IV) allele and one deficient (class I) allele
7505264	7504183	{"III/Deficient": 2}	III/Deficient	III/Deficient	n/a	n/a	n/a	A person carrying two deficient (class III) alleles
7505968	7504183	{"II/Deficient": 1, "III/Deficient": 1}	III/Deficient	II/Deficient	n/a	n/a	n/a	A person carrying one deficient (class II) allele and one deficient (class III) allele
7507930	7504183	{"III/Deficient": 1, "I/Deficient with CNSHA": 1}	III/Deficient	I/Deficient with CNSHA	n/a	n/a	n/a	A person carrying one deficient (class I) allele and one deficient (class III) allele
7511113	7504183	{"II/Deficient": 2}	II/Deficient	II/Deficient	n/a	n/a	n/a	A person carrying two deficient (class II) alleles
7512545	7504183	{"II/Deficient": 1, "I/Deficient with CNSHA": 1}	II/Deficient	I/Deficient with CNSHA	n/a	n/a	n/a	A person carrying one deficient (class I) allele and one deficient (class II) allele
7517104	7504276	{"I/Deficient with CNSHA": 2}	I/Deficient with CNSHA	I/Deficient with CNSHA	n/a	n/a	n/a	A person carrying two deficient (class I) alleles
7520847	7520846	{"Uncertain function": 1}	Uncertain function	N/A	n/a	n/a	n/a	A person with one X chromosome carrying an uncertain function allele
7520854	7520846	{"IV/Normal": 1, "Uncertain function": 1}	IV/Normal	Uncertain function	n/a	n/a	n/a	A person carrying one non-deficient (class IV) allele and one uncertain function allele
7520885	7520846	{"III/Deficient": 1, "Uncertain function": 1}	III/Deficient	Uncertain function	n/a	n/a	n/a	A person carrying one deficient (class II) allele and one uncertain function allele
7521108	7520846	{"II/Deficient": 1, "Uncertain function": 1}	II/Deficient	Uncertain function	n/a	n/a	n/a	A person carrying one deficient (class III) allele and one uncertain function allele
7521427	7520846	{"Uncertain function": 1, "I/Deficient with CNSHA": 1}	I/Deficient with CNSHA	Uncertain function	n/a	n/a	n/a	A person carrying one deficient (class I) allele and one uncertain function allele
7521944	7520846	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	A person carrying two uncertain function alleles
7521967	7521966	{"increased risk of aminoglycoside-induced hearing loss": 1}	increased risk of aminoglycoside-induced hearing loss	N/A	n/a	n/a	n/a	Individuals with a MT-RNR1 variant associated with an increased risk of aminoglycoside-induced hearing loss
7521972	7521971	{"normal risk of aminoglycoside-induced hearing loss": 1}	normal risk of aminoglycoside-induced hearing loss	N/A	n/a	n/a	n/a	Individuals with no detectable MT-RNR1 variant or a variant associated with normal risk of aminoglycoside-induced hearing loss
7521975	7521974	{"uncertain risk of aminoglycoside-induced hearing loss": 1}	uncertain risk of aminoglycoside-induced hearing loss	N/A	n/a	n/a	n/a	Individuals with a MT-RNR1 variant associated with an uncertain risk of aminoglycoside-induced hearing loss
7522002	7522001	{"Decreased function": 1, "Increased function": 1}	Increased function	Decreased function	n/a	n/a	n/a	An individual carrying one increased function allele and one decreased function allele
7522084	7522083	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7522906	7522905	{"Unknown function": 1, "Increased function": 1}	Increased function	Unknown function	n/a	n/a	n/a	An individual carrying one increased function allele and one unknown function allele
7522921	7522905	{"Increased function": 1, "Uncertain function": 1}	Increased function	Uncertain function	n/a	n/a	n/a	An individual carrying one increased function allele and one uncertain function allele
7522942	7522905	{"Unknown function": 1, "Decreased function": 1}	Decreased function	Unknown function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncknown function allele
7523223	7522905	{"Decreased function": 1, "Uncertain function": 1}	Decreased function	Uncertain function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncertain function allele
7523624	7522905	{"Unknown function": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7523653	7522905	{"Unknown function": 1, "Uncertain function": 1}	Unknown function	Uncertain function	n/a	n/a	n/a	An individual carrying one unknown function allele and one uncertain function allele
7523724	7522905	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7523781	7523780	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7523783	7523780	{"Normal function": 1, "Decreased function": 1}	Normal function	Decreased function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7523787	7523786	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7523799	7523786	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7523804	7523803	{"No function": 1, "Uncertain function": 1}	Uncertain function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one uncertain function allele
7523872	7523871	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7523939	7523871	{"No function": 1, "Decreased function": 1}	No function	Decreased function	n/a	n/a	n/a	An individual carrying one no function allele and one decreased function allele
7523963	7523962	{"Normal function": 1, "Uncertain function": 1}	Uncertain function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one uncertain function allele
7523970	7523962	{"Decreased function": 1, "Uncertain function": 1}	Uncertain function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncertain function allele
7523983	7523962	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7524006	7524005	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual negative for a RYR1 variant classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel.
7524503	7524005	{"Normal function": 1, "Uncertain function": 1}	Normal function	Uncertain function	n/a	n/a	n/a	An individual negative for a RYR1 variant classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel.
7531324	7524005	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual negative for a RYR1 variant classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel.
7555636	7555635	{"Malignant Hyperthermia associated": 2}	Malignant Hyperthermia associated	Malignant Hyperthermia associated	n/a	n/a	n/a	An individual homozygous or compound heterozygous for a RYR1 variant(s) classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel. Individuals who have biallelic (homozygous or compound heterozygous) pathogenic variants in RYR1 generally will have autosomal recessive myopathies and should be managed according to the standard of care for those disorders.
7559642	7555635	{"Normal function": 1, "Malignant Hyperthermia associated": 1}	Malignant Hyperthermia associated	Normal function	n/a	n/a	n/a	An individual heterozygous for a RYR1 variant classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel.
7562402	7555635	{"Uncertain function": 1, "Malignant Hyperthermia associated": 1}	Malignant Hyperthermia associated	Uncertain function	n/a	n/a	n/a	An individual heterozygous for a RYR1 variant classified as pathogenic or likely pathogenic by the ClinGen Malignant Hyperthermia Susceptibility Variant Curation Expert Panel.
7581984	7581983	{"Increased function": 2}	Increased function	Increased function	n/a	n/a	n/a	An individual carrying two increased function alleles
7581989	7581988	{"No function": 1, "Increased function": 1}	Increased function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one increased function allele
7582013	7582012	{"Normal function": 1, "Increased function": 1}	Increased function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one increased function allele
7582019	7582018	{"Increased function": 1, "Uncertain function": 1}	Increased function	Uncertain function	n/a	n/a	n/a	An individual carrying one increased function allele and one uncertain function allele
7582062	7582018	{"Unknown function": 1, "Increased function": 1}	Increased function	Unknown function	n/a	n/a	n/a	An individual carrying one increased function allele and one unknown function allele
7582068	7582067	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7582135	7581988	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7582158	7582012	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7582163	7582162	{"No function": 1, "Uncertain function": 1}	Uncertain function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one uncertain function allele
7582395	7582018	{"Normal function": 1, "Uncertain function": 1}	Uncertain function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one uncertain function allele
7582438	7582018	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7582670	7582162	{"No function": 1, "Unknown function": 1}	Unknown function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one unknown function allele
7582693	7582018	{"Normal function": 1, "Unknown function": 1}	Unknown function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one unknown function allele
7582698	7582018	{"Unknown function": 1, "Uncertain function": 1}	Unknown function	Uncertain function	n/a	n/a	n/a	An individual carrying one unknown and one uncertain function alleles
7582741	7582018	{"Unknown function": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7582746	7582745	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
