id	guidelineid	drugid	implications	drugrecommendation	classification	phenotypes	activityscore	allelestatus	lookupkey	population	comments	version	dosinginformation	alternatedrugavailable	otherprescribingguidance
7590253	100416	RxNorm:10689	{"CYP2D6": "Expected O-desmethyltramadol (active metabolite) formation"}	Use tramadol label recommended age- or weight-specific dosing.	Strong	{"CYP2D6": "Normal Metabolizer"}	{"CYP2D6": "1.75"}	{}	{"CYP2D6": "1.75"}	general	n/a	1	f	f	f
7588428	826283	RxNorm:10627	{"MT-RNR1": "Normal risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Strong	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588429	826283	RxNorm:10627	{"MT-RNR1": "Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Optional	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588430	826283	RxNorm:3328	{"MT-RNR1": "Very high risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Strong	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	general	If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).	1	f	f	f
7588431	826283	RxNorm:3328	{"MT-RNR1": "Normal risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Strong	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588432	826283	RxNorm:3328	{"MT-RNR1": "Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Optional	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588433	826283	RxNorm:7299	{"MT-RNR1": "Very high risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Strong	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	general	If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).	1	f	f	f
7588434	826283	RxNorm:7299	{"MT-RNR1": "Normal risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Strong	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588435	826283	RxNorm:7299	{"MT-RNR1": "Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Optional	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588436	826283	RxNorm:7337	{"MT-RNR1": "Very high risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Strong	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	general	If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).	1	f	f	f
7588437	826283	RxNorm:7337	{"MT-RNR1": "Normal risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Strong	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588453	2405438	RxNorm:3445	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Optional	{"G6PD": "Deficient"}	{}	{}	{"G6PD": "Deficient"}	general	Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs.	1	f	f	f
7588438	826283	RxNorm:7337	{"MT-RNR1": "Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Optional	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588439	826283	RxNorm:NA	{"MT-RNR1": "Very high risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Strong	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "increased risk of aminoglycoside-induced hearing loss"}	general	If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).	1	f	f	f
7588440	826283	RxNorm:NA	{"MT-RNR1": "Normal risk of developing hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Strong	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "normal risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588441	826283	RxNorm:NA	{"MT-RNR1": "Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic."}	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Optional	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	{}	{}	{"MT-RNR1": "uncertain risk of aminoglycoside-induced hearing loss"}	general	Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.	1	f	f	f
7588442	2405438	RxNorm:7833	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7588443	2405438	RxNorm:7833	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Optional	{"G6PD": "Deficient"}	{}	{}	{"G6PD": "Deficient"}	general	Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs.	1	f	f	f
7588444	2405438	RxNorm:7833	{"G6PD": "High risk of acute exacerbation of chronic hemolysis"}	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Optional	{"G6PD": "Deficient with CNSHA"}	{}	{}	{"G6PD": "Deficient with CNSHA"}	general	There are insufficient data in patients with the G6PD Deficient with CNSHA phenotype, but the risk of using any drug should be weighed carefully against the benefits in these rare patients due to the underlying pathophysiology that confers high risk for acute exacerbation of chronic hemolysis.	1	f	f	f
7588445	2405438	RxNorm:7833	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Moderate	{"G6PD": "Variable"}	{}	{}	{"G6PD": "Variable"}	general	Due to X-linked mosaicism, individuals with more than one X chromosome (e.g., females, individuals with Klinefelter syndrome) and heterozygous for one non-deficient (class IV) and one deficient (class I–III) allele may display a normal or a deficient phenotype.	1	f	f	f
7588446	2405438	RxNorm:7833	{"G6PD": "Unknown risk of acute hemolytic anemia"}	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Moderate	{"G6PD": "Indeterminate"}	{}	{}	{"G6PD": "Indeterminate"}	general	\N	1	f	f	f
7588447	2405438	RxNorm:2551	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7588448	2405438	RxNorm:2551	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Optional	{"G6PD": "Deficient"}	{}	{}	{"G6PD": "Deficient"}	general	Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs.	1	f	f	f
7588449	2405438	RxNorm:2551	{"G6PD": "High risk of acute exacerbation of chronic hemolysis"}	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Optional	{"G6PD": "Deficient with CNSHA"}	{}	{}	{"G6PD": "Deficient with CNSHA"}	general	There are insufficient data in patients with the G6PD Deficient with CNSHA phenotype, but the risk of using any drug should be weighed carefully against the benefits in these rare patients due to the underlying pathophysiology that confers high risk for acute exacerbation of chronic hemolysis.	1	f	f	f
7588450	2405438	RxNorm:2551	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Moderate	{"G6PD": "Variable"}	{}	{}	{"G6PD": "Variable"}	general	Due to X-linked mosaicism, individuals with more than one X chromosome (e.g., females, individuals with Klinefelter syndrome) and heterozygous for one non-deficient (class IV) and one deficient (class I–III) allele may display a normal or a deficient phenotype.	1	f	f	f
7588451	2405438	RxNorm:2551	{"G6PD": "Unknown risk of acute hemolytic anemia"}	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Moderate	{"G6PD": "Indeterminate"}	{}	{}	{"G6PD": "Indeterminate"}	general	\N	1	f	f	f
7588452	2405438	RxNorm:3445	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7588472	2405438	RxNorm:6572	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7588454	2405438	RxNorm:3445	{"G6PD": "High risk of acute exacerbation of chronic hemolysis"}	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Optional	{"G6PD": "Deficient with CNSHA"}	{}	{}	{"G6PD": "Deficient with CNSHA"}	general	There are insufficient data in patients with the G6PD Deficient with CNSHA phenotype, but the risk of using any drug should be weighed carefully against the benefits in these rare patients due to the underlying pathophysiology that confers high risk for acute exacerbation of chronic hemolysis.	1	f	f	f
7588455	2405438	RxNorm:3445	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Moderate	{"G6PD": "Variable"}	{}	{}	{"G6PD": "Variable"}	general	Due to X-linked mosaicism, individuals with more than one X chromosome (e.g., females, individuals with Klinefelter syndrome) and heterozygous for one non-deficient (class IV) and one deficient (class I–III) allele may display a normal or a deficient phenotype.	1	f	f	f
7588456	2405438	RxNorm:3445	{"G6PD": "Unknown risk of acute hemolytic anemia"}	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Moderate	{"G6PD": "Indeterminate"}	{}	{}	{"G6PD": "Indeterminate"}	general	\N	1	f	f	f
7588457	2405438	RxNorm:3639	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7588458	2405438	RxNorm:3639	{"G6PD": "Low-to-no risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status at standard doses	Optional	{"G6PD": "Deficient"}	{}	{}	{"G6PD": "Deficient"}	general	Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs.	1	f	f	f
